 geometry of the cluster 2014 (run 126)
                -------------------------
  Coordinates (in cm!!!) of array 2014 OMs  according to acoustic system.
  Coordinates of Laser: x=9830.0 cm; y=-1100.0 cm; z=6890 cm;
                   X               Y              Z
           1   5080.0000       3659.9998       700.00000
           2   5080.0000       3659.9998       2200.0000
           3   5080.0000       3659.9998       3700.0000
           4   5080.0000       3659.9998       5200.0000
           5   5080.0000       3659.9998       6700.0000
           6   5080.0000       3659.9998       8200.0000
           7   5080.0000       3659.9998       9700.0000
           8   5080.0000       3659.9998       11200.000
           9   5080.0000       3659.9998       12700.000
          10   5080.0000       3659.9998       14200.000
          11   5080.0000       3659.9998       15700.000
          12   5080.0000       3659.9998       17200.000
          13   5080.0000       3659.9998       18700.000
          14   5080.0000       3659.9998       20200.000
          15   5080.0000       3659.9998       21700.000
          16   5080.0000       3659.9998       23200.000
          17   5080.0000       3659.9998       24700.000
          18   5080.0000       3659.9998       26200.000
          19   5080.0000       3659.9998       27700.000
          20   5080.0000       3659.9998       29200.000
          21   5080.0000       3659.9998       30700.000
          22   5080.0000       3659.9998       32200.000
          23   5080.0000       3659.9998       33700.000
          24   5080.0000       3659.9998       35200.000
          25   3472.8398       519.59430       710.00000
          26   3478.9250       518.72498       2210.0000
          27   3485.0103       517.85571       3709.9998
          28   3491.0955       516.98639       5210.0000
          29   3497.1807       516.11707       6710.0000
          30   3503.2659       515.24774       8210.0000
          31   3509.3511       514.37842       9710.0000
          32   3515.4363       513.50916       11210.000
          33   3521.5215       512.63983       12710.000
          34   3527.6067       511.77048       14210.001
          35   3533.6919       510.90115       15710.001
          36   3539.7771       510.03183       17210.000
          37   3545.8623       509.16257       18710.000
          38   3551.9470       508.29324       20210.000
          39   3558.0322       507.42392       21710.000
          40   3564.1174       506.55460       23210.000
          41   3570.2026       505.68527       24710.000
          42   3576.2878       504.81601       26210.000
          43   3582.3730       503.94669       27710.000
          44   3588.4583       503.07736       29210.000
          45   3594.5435       502.20804       30710.000
          46   3600.6287       501.33871       32210.000
          47   3606.7139       500.46945       33710.000
          48   3612.7991       499.60013       35210.000
          49  0.40556198       1.6222479       700.00000
          50   1.2746234       5.0984936       2200.0000
          51   2.1436849       8.5747395       3700.0000
          52   3.0127461       12.050984       5200.0000
          53   3.8818076       15.527230       6700.0000
          54   4.7508693       19.003477       8200.0000
          55   5.6199303       22.479721       9700.0000
          56   6.4889917       25.955967       11200.000
          57   7.3580532       29.432213       12700.000
          58   8.2271147       32.908459       14200.000
          59   9.0961761       36.384705       15700.000
          60   9.9652376       39.860950       17200.000
          61   10.834299       43.337196       18700.000
          62   11.703360       46.813438       20200.000
          63   12.572421       50.289684       21700.000
          64   13.441483       53.765930       23200.000
          65   14.310545       57.242180       24700.000
          66   15.179605       60.718422       26200.000
          67   16.048666       64.194664       27700.000
          68   16.917728       67.670914       29200.000
          69   17.786791       71.147163       30700.000
          70   18.655851       74.623405       32200.000
          71   19.524912       78.099648       33700.000
          72   20.393974       81.575897       35200.000
          73   3625.4753       6729.5942       730.00000
          74   3637.2075       6728.7256       2230.0000
          75   3648.9399       6727.8564       3730.0000
          76   3660.6719       6726.9873       5230.0000
          77   3672.4045       6726.1187       6730.0005
          78   3684.1370       6725.2495       8230.0000
          79   3695.8691       6724.3804       9730.0000
          80   3707.6016       6723.5117       11230.000
          81   3719.3337       6722.6416       12730.000
          82   3731.0662       6721.7729       14230.000
          83   3742.7986       6720.9038       15730.000
          84   3754.5308       6720.0347       17230.000
          85   3766.2632       6719.1660       18730.000
          86   3777.9954       6718.2969       20230.000
          87   3789.7278       6717.4277       21730.000
          88   3801.4602       6716.5586       23230.000
          89   3813.1924       6715.6890       24730.000
          90   3824.9248       6714.8203       26229.998
          91   3836.6570       6713.9512       27729.998
          92   3848.3894       6713.0820       29229.998
          93   3860.1218       6712.2129       30729.998
          94   3871.8540       6711.3442       32229.998
          95   3883.5864       6710.4751       33730.000
          96   3895.3186       6709.6060       35230.000
          97   1093.4476       3839.3916       818.40002
          98   1100.8356       3838.0879       2336.4001
          99   1108.2235       3836.7844       3854.3999
         100   1115.6115       3835.4805       5372.3994
         101   1122.9994       3834.1768       6890.3999
         102   1130.3873       3832.8728       8408.3994
         103   1137.7753       3831.5693       9926.3994
         104   1145.1632       3830.2654       11444.399
         105   1152.5510       3828.9617       12962.400
         106   1159.9390       3827.6577       14480.400
         107   1167.3268       3826.3542       15998.399
         108   1174.7148       3825.0503       17516.400
         109   1182.1027       3823.7466       19034.398
         110   1189.4906       3822.4426       20552.400
         111   1196.8785       3821.1392       22070.400
         112   1204.2665       3819.8352       23588.400
         113   1211.6544       3818.5315       25106.400
         114   1219.0424       3817.2280       26624.398
         115   1226.4302       3815.9241       28142.400
         116   1233.8181       3814.6201       29660.400
         117   1241.2061       3813.3164       31178.400
         118   1248.5940       3812.0129       32696.398
         119   1255.9819       3810.7090       34214.398
         120   1263.3699       3809.4050       35732.402
